year,field_i,field_j,count_i,count_j,coocc,weight_cosine
2018,Agricultural and Biological Sciences,Earth and Planetary Sciences,869,605,30,0.04137458771254811
2018,Chemistry,Neuroscience,559,1300,19,0.02228825258707296
2018,Chemical Engineering,Environmental Science,187,1603,12,0.021917634564163756
2018,Earth and Planetary Sciences,Social Sciences,605,1020,16,0.02036771031313466
2018,Agricultural and Biological Sciences,Neuroscience,869,1300,27,0.025402835728035974
2018,Agricultural and Biological Sciences,Materials Science,869,1789,24,0.019248468611943938
2018,Environmental Science,Psychology,1603,834,23,0.0198919816312313
2018,Computer Science,Energy,1946,521,8,0.00794510621283572
2018,Chemistry,Psychology,559,834,6,0.008787438956230633
2018,Chemistry,Environmental Science,559,1603,55,0.05810185850198776
2018,Agricultural and Biological Sciences,Social Sciences,869,1020,17,0.018056723477810774
2018,Chemistry,Computer Science,559,1946,15,0.014381822922046655
2018,Mathematics,Social Sciences,148,1020,13,0.03345895776613442
2018,"Economics, Econometrics and Finance",Psychology,485,834,6,0.009434032233202919
2018,"Biochemistry, Genetics and Molecular Biology",Chemical Engineering,3912,187,4,0.004676702726950759
2018,Neuroscience,Nursing,1300,195,22,0.043695196726442564
2018,Health Professions,Materials Science,553,1789,2,0.0020107693640671795
2018,Arts and Humanities,Neuroscience,100,1300,6,0.016641005886756828
2018,Chemical Engineering,Computer Science,187,1946,7,0.011603949197544181
2018,"Economics, Econometrics and Finance",Energy,485,521,31,0.06166971805270962
2018,Agricultural and Biological Sciences,"Economics, Econometrics and Finance",869,485,13,0.02002454214137533
2018,Arts and Humanities,Computer Science,100,1946,13,0.029469443473943004
2018,Arts and Humanities,Engineering,100,3317,3,0.0052089299728605015
2018,Computer Science,"Economics, Econometrics and Finance",1946,485,17,0.01749873418795706
2018,Mathematics,Physics and Astronomy,148,889,10,0.02756882533077654
2018,Health Professions,Nursing,553,195,13,0.03958799265112922
2018,Nursing,Social Sciences,195,1020,9,0.020180183819889327
2018,Agricultural and Biological Sciences,Psychology,869,834,13,0.01527040089469662
2018,Chemistry,Earth and Planetary Sciences,559,605,5,0.00859778168019924
2018,Decision Sciences,Neuroscience,279,1300,9,0.014944064441601512
2018,Agricultural and Biological Sciences,Engineering,869,3317,39,0.02297111008203847
2018,Decision Sciences,Mathematics,279,148,31,0.15255580380068484
2018,"Business, Management and Accounting",Materials Science,503,1789,1,0.0010541704477504126
2018,Materials Science,Social Sciences,1789,1020,1,0.0007402778310280885
2018,Decision Sciences,Materials Science,279,1789,1,0.0014154441182208618
2018,Agricultural and Biological Sciences,Health Professions,869,553,7,0.010097772597689424
2018,Agricultural and Biological Sciences,Nursing,869,195,22,0.053443573181846185
2018,"Business, Management and Accounting",Nursing,503,195,1,0.0031929984064307604
2018,"Biochemistry, Genetics and Molecular Biology",Energy,3912,521,9,0.006304116418989269
2018,Chemical Engineering,Earth and Planetary Sciences,187,605,4,0.011892180730322301
2018,Arts and Humanities,Health Professions,100,553,8,0.03401946044500484
2018,Arts and Humanities,Decision Sciences,100,279,1,0.005986843400892461
2018,Agricultural and Biological Sciences,Mathematics,869,148,9,0.025095841542228693
2018,"Economics, Econometrics and Finance",Immunology and Microbiology,485,915,5,0.007505654826489243
2018,"Economics, Econometrics and Finance",Materials Science,485,1789,1,0.0010735541631152236
2018,Immunology and Microbiology,Materials Science,915,1789,6,0.004689597105784147
2018,"Biochemistry, Genetics and Molecular Biology",Social Sciences,3912,1020,20,0.01001222237149333
2018,Neuroscience,"Pharmacology, Toxicology and Pharmaceutics",1300,96,4,0.011322770341445925
2018,Health Professions,Immunology and Microbiology,553,915,7,0.009840675869581993
2018,"Economics, Econometrics and Finance",Engineering,485,3317,11,0.008672595285076894
2018,Nursing,Psychology,195,834,5,0.012398515044387708
2018,Environmental Science,Physics and Astronomy,1603,889,14,0.01172763373314139
